,Rage
8331,0
8333,0
8334,1
8335,1
8338,1
8340,1
8342,1
8343,0
8373,0
8387,1
8455,1
8457,0
8461,0
8462,1
8463,1
8465,1
8472,0
8473,1
8474,1
8483,1
8491,1
8492,1
8494,1
8498,1
8512,1
8513,1
8528,0
8529,0
8544,1
8546,1
8564,1
8584,1
8585,1
8597,1
8601,1
8602,0
8604,0
8607,1
8635,1
8647,1
8766,1
8774,1
8775,1
8779,1
8780,1
8783,0
8792,1
8820,0
9365,0
9366,1
8880,1
8881,1
8882,0
8883,0
8884,1
8885,1
8886,1
8913,1
8923,1
8924,1
9024,1
9032,1
9033,0
9034,0
9035,0
9036,0
9037,1
9046,1
9069,1
9084,1
9107,1
9115,1
9120,1
9121,0
9122,1
9123,1
9143,1
9146,0
9155,1
9156,1
9216,0
9217,0
9218,1
9219,1
9220,0
9221,1
9222,1
9263,1
9264,1
9274,1
9283,1
9284,1
9285,1
9286,1
9288,0
9326,1
9358,1
9440,1
9442,1
9611,1
9371,0
9372,1
9377,1
9378,1
9379,1
9380,1
9381,0
9386,1
9421,1
9436,1
9462,1
9463,1
9466,1
9474,1
9475,0
9480,1
9523,0
9524,1
9525,1
9526,1
9535,0
9536,1
9537,1
9554,0
9564,0
9569,1
9577,1
9580,1
9582,1
9606,1
9677,1
9678,1
9679,1
9680,0
9693,1
9696,0
9699,1
9702,1
9704,1
9729,1
9760,1
9761,1
9762,1
9763,1
9764,1
9767,1
9768,1
9769,0
9777,1
9778,1
9931,0
9932,0
9935,0
9937,0
9939,0
9954,0
9955,0
9956,0
9980,0
11469,0
10010,0
10011,0
10017,0
10019,0
10020,0
10022,0
10035,0
10039,0
10040,0
10051,0
10082,0
10083,0
10089,0
10090,0
10091,0
10096,0
10110,0
10115,0
10116,0
